loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,gaia_dist,st_teff,st_mass,pl_facility,,,,rowupdate
146,GJ 317,GJ 317 b,Radial Velocity,2,692,1.15,2.5,15.1,15.2,3510,0.42,W. M. Keck Observatory,,,,27-08-2014
147,GJ 317,GJ 317 c,Radial Velocity,2,5312,,1.54,15.1,15.2,3510,0.42,W. M. Keck Observatory,,,,29-11-2018
148,GJ 328,GJ 328 b,Radial Velocity,1,4100,4.5,2.3,20.54,20.54,3900,0.69,McDonald Observatory,,,,14-05-2014
149,GJ 3293,GJ 3293 b,Radial Velocity,4,30.5987,0.14339,0.07406,20.2,20.2,3466,0.42,La Silla Observatory,,,,30-03-2017
150,GJ 3293,GJ 3293 c,Radial Velocity,4,122.6196,0.36175,0.06636,20.2,20.2,3466,0.42,La Silla Observatory,,,,30-03-2017
151,GJ 3293,GJ 3293 d,Radial Velocity,4,48.1345,0.19394,0.02391,20.2,20.2,3466,0.42,La Silla Observatory,,,,30-03-2017
152,GJ 3293,GJ 3293 e,Radial Velocity,4,13.2543,0.08208,0.01032,20.2,20.2,3466,0.42,La Silla Observatory,,,,30-03-2017
153,GJ 3323,GJ 3323 b,Radial Velocity,2,5.3636,0.03282,0.00636,5.32,5.38,3159,0.16,La Silla Observatory,,,,30-03-2017
154,GJ 3323,GJ 3323 c,Radial Velocity,2,40.54,0.1264,0.00727,5.32,5.38,3159,0.16,La Silla Observatory,,,,30-03-2017
155,GJ 3341,GJ 3341 b,Radial Velocity,1,14.207,0.089,0.0208,23.16,23.64,3526,0.47,La Silla Observatory,,,,03-12-2014
156,GJ 3470,GJ 3470 b,Radial Velocity,1,3.3366496,0.0355,0.04373,29.45,29.45,3600,0.54,La Silla Observatory,,,,29-09-2016
157,GJ 357,GJ 357 b,Transit,3,3.93072,0.035,0.00579,9.44,9.44,3505,0.34,Transiting Exoplanet Survey Satellite (TESS),,,,15-08-2019
158,GJ 357,GJ 357 c,Radial Velocity,3,9.1247,0.061,0.0107,9.44,9.44,3505,0.34,Multiple Observatories,,,,01-08-2019
159,GJ 357,GJ 357 d,Radial Velocity,3,55.661,0.204,0.01919,9.44,9.44,3505,0.34,Multiple Observatories,,,,01-08-2019
160,GJ 3634,GJ 3634 b,Radial Velocity,1,2.64561,0.0287,0.026,19.8,20.39,,0.45,La Silla Observatory,,,,21-08-2014
161,GJ 3779,GJ 3779 b,Radial Velocity,1,3.0232,0.026,0.02517,13.75,13.75,3324,0.27,Calar Alto Observatory,,,,06-12-2018
162,GJ 3942,GJ 3942 b,Radial Velocity,1,6.905,0.0608,0.02246,16.94,16.94,3867,0.63,Roque de los Muchachos Observatory,,,,21-12-2017
163,GJ 3998,GJ 3998 b,Radial Velocity,2,2.64977,0.029,0.00777,18.16,18.16,3722,0.5,Roque de los Muchachos Observatory,,,,28-07-2016
